"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**";"Logo-Front-SolderedFULL-13mm";1;"Logo-Front-SolderedFULL-13mm";;;
2;"R5";"0603R";1;"50k";;;
3;"D2";"SOT-23-3";1;"MMBZ5226BLT1G";;;
4;",,,,,,,,,,,,,,,";"buzzardLabel";16;"";;;
5;"H2,H3,H1,H4";"HOLE_3.2mm";4;"HOLE_3.2mm";;;
6;"D1";"0402LED";1;"purple";;;
7;"R1";"0402R";1;"2k2";;;
8;"FD1";"FIDUCIAL_23";1;"FIDUCIAL";;;
9;"U1";"HTSSOP-28";1;"DRV8424PPWPR";;;
10;"C6";"0603C";1;"C1608X7R2A223K080AA";;;
11;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
12;"R4,R2";"0603R";2;"10k";;;
13;"G***";"Symbol-Front-Motor";1;"LOGO";;;
14;"R3";"0603R";1;"5k1";;;
15;"JP1";"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";1;"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";;;
16;"C2";"ELECTROLITIC_CAP_8x8x14.5";1;"VKMD1451K101MV";;;
17;"C3,C1";"0805C";2;"08051C103KAT2A";;;
18;"K4";"HEADER_MALE_7X1";1;"HEADER_MALE_7X1";;;
19;"C5";"0603C";1;"100nF";;;
20;"REF**";"Logo-Back-SolderedFULL-20mm";1;"Logo-Front-SolderedFULL-20mm";;;
21;"K2,K3,K1";"TERMINAL_KF235-5.0-2P";3;"TERMINAL_KF235-5.0-2P";;;
22;"C4";"0603C";1;"AC0603KRX7R9BB224";;;
23;"REF**";"Version1.1.1.";1;"Version1.1.1.";;;
