"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;",,,,,,,,,,,,,,,,,,,,,";"buzzardLabel";22;"";;;
2;"H2,H3,H1,H4";"HOLE_3.2mm";4;"HOLE_3.2mm";;;
3;"D1";"0402LED";1;"purple";;;
4;"R1";"0402R";1;"2k2";;;
5;"FD1";"FIDUCIAL_23";1;"FIDUCIAL";;;
6;"U1";"HTSSOP-28";1;"DRV8424PPWPR";;;
7;"C6";"0603C";1;"C1608X7R2A223K080AA";;;
8;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
9;"R4,R5,R2";"0603R";3;"10k";;;
10;"G***";"Symbol-Front-Motor";1;"LOGO";;;
11;"R3";"0603R";1;"5k1";;;
12;"JP1";"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";1;"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";;;
13;"REF**";"Logo-Front-SolderedFULL-13mm";1;"Logo-Front-SolderedFULL-13mm";;;
14;"C2";"ELECTROLITIC_CAP_8x8x14.5";1;"VKMD1451K101MV";;;
15;"C3,C1";"0805C";2;"08051C103KAT2A";;;
16;"K4";"HEADER_MALE_7X1";1;"HEADER_MALE_7X1";;;
17;"C5";"0603C";1;"100nF";;;
18;"D2";"SOT-23-3";1;"MMBZ5226BLT1G";;;
19;"REF**";"Logo-Back-SolderedFULL-20mm";1;"Logo-Front-SolderedFULL-20mm";;;
20;"K2,K3,K1";"TERMINAL_KF235-5.0-2P";3;"TERMINAL_KF235-5.0-2P";;;
21;"C4";"0603C";1;"AC0603KRX7R9BB224";;;
22;"K17,K11,K10,K12,K9,K13";"Test_Point_SMD_0.8mm";6;"Test_Point_SMD_0.8mm";;;
23;"REF**";"Version1.2.0.";1;"Version1.2.0.";;;
